BulkBGroup,RhizoBGroup,Country,Crop_Family,Crop_Managment,n.x,average.x,sd.x,n.y,average.y,sd.y
ZZZW1B,ZZZW2R,Canada,Leguminosae,Dryland,2,6.490583284,0.417123909,4,6.182083039,0.22490011
ZZZW1B,ZZZW3R,Canada,Leguminosae,Dryland,2,6.490583284,0.417123909,3,5.740612049,0.764373256
ZZZW1B,ZZZW4R,Canada,Leguminosae,Dryland,2,6.490583284,0.417123909,4,5.854672285,0.50859496
ZZZZE1B,ZZZZE1R,China,Gramineae,Wetland,4,6.730188214,0.03532633,4,6.765344748,0.11061927
ZZZZE1B,ZZZZE2R,China,Gramineae,Wetland,4,6.730188214,0.03532633,4,6.895873563,0.114005483
ZZZZE1B,ZZZZE3R,China,Gramineae,Wetland,4,6.730188214,0.03532633,4,6.803463141,0.038748908
ZZZZE4B,ZZZZE4R,China,Gramineae,Wetland,4,7.066399784,0.133971399,4,6.973339764,0.043736204
ZZZZE4B,ZZZZE5R,China,Gramineae,Wetland,4,7.066399784,0.133971399,4,6.778307061,0.112608003
ZZZZE4B,ZZZZE6R,China,Gramineae,Wetland,4,7.066399784,0.133971399,4,7.04031391,0.045360029
ZZZZE7B,ZZZZE7R,China,Gramineae,Wetland,4,7.07932815,0.107838958,4,6.817466228,0.206197594
ZZZZE7B,ZZZZE8R,China,Gramineae,Wetland,4,7.07932815,0.107838958,4,6.964069359,0.042406822
ZZZZE7B,ZZZZE9R,China,Gramineae,Wetland,4,7.07932815,0.107838958,4,6.785650054,0.081594803
ZZZZF1B,ZZZZF1R,USA,Gramineae,Dryland,2,4.545854935,1.789730392,2,3.976827094,1.010221491
ZZZZF2B,ZZZZF2R,USA,Gramineae,Dryland,2,4.806617858,0.231284347,2,4.0380824,0.716777903
ZZZZF4B,ZZZZF4R,USA,Gramineae,Dryland,3,4.165345702,1.229945049,3,4.681595552,1.116798149
ZZZZF5B,ZZZZF5R,USA,Gramineae,Dryland,2,4.807608741,0.422487249,2,4.454044242,1.101083787
ZZZZF6B,ZZZZF6R,USA,Gramineae,Dryland,3,5.021573088,0.590634762,3,4.623401968,1.252760925
ZZZZF7B,ZZZZF7R,USA,Gramineae,Dryland,2,5.186941512,0.230743168,2,4.186584501,1.380530865
ZZZZF91B,ZZZZF91R,USA,Solanaceae,Dryland,3,4.699926729,1.071371572,3,4.473348866,0.689421855
ZZZZF93B,ZZZZF93R,USA,Gramineae,Dryland,2,5.285231127,0.43967971,3,4.700578203,1.068770687
ZZZZF94B,ZZZZF94R,USA,Gramineae,Dryland,3,4.908137221,0.479804507,3,4.458792927,0.827397646
ZZZZF96B,ZZZZF96R,USA,Gramineae,Dryland,3,4.106286323,1.023366549,3,4.260210579,0.835222567
ZZZZF97B,ZZZZF97R,USA,Gramineae,Dryland,3,5.071473614,0.652558413,3,4.802985527,0.704862745
ZZZZF98B,ZZZZF98R,USA,Gramineae,Dryland,2,4.15259289,1.361426867,2,4.411046882,1.124943862
ZZZZF99B,ZZZZF99R,USA,Gramineae,Dryland,3,4.938333995,0.469505491,3,4.414513204,0.753187555
ZZZZG1B,ZZZZG1R,USA,Gramineae,Dryland,3,4.663328656,0.005920104,3,4.477678894,0.145360123
ZZZZG2B,ZZZZG2R,USA,Gramineae,Dryland,3,4.872091541,0.159882043,3,4.800560741,0.28764263
ZZZZG3B,ZZZZG3R,USA,Gramineae,Dryland,3,4.933807338,0.14634348,3,4.775972172,0.304280772
ZZZZG4B,ZZZZG4R,USA,Gramineae,Dryland,3,4.877224849,0.288949382,3,5.005925058,0.205390023
ZZZZG5B,ZZZZG5R,USA,Gramineae,Dryland,3,4.702359863,0.687535605,3,4.932917889,0.208682155
ZZZZG6B,ZZZZG6R,USA,Gramineae,Dryland,3,4.835812391,0.446662303,3,4.792467266,0.169977922
ZZZZG7B,ZZZZG7R,USA,Gramineae,Dryland,3,4.689826529,0.33631653,3,4.802890445,0.269285723
ZZZZG8B,ZZZZG8R,USA,Gramineae,Dryland,3,4.466744879,0.073479393,3,4.678702534,0.158434362
ZZZZG9B,ZZZZG9R,USA,Gramineae,Dryland,3,4.32434245,0.185161556,3,4.439772707,0.146465149
ZZZZJ1B,ZZZZJ1R,USA,Gramineae,Dryland,3,5.078744941,0.211146664,3,5.329203915,0.23223976
ZZZZJ2B,ZZZZJ2R,USA,Gramineae,Dryland,4,5.091364387,0.184101926,4,4.972259663,0.381090772
ZZZZJ3B,ZZZZJ3R,USA,Gramineae,Dryland,4,4.179270413,0.365532709,4,4.605960647,0.388454159
ZZZZJ4B,ZZZZJ4R,USA,Gramineae,Dryland,5,4.555480693,0.379913135,5,4.932454323,0.287861468
ZZZZJ5B,ZZZZJ5R,USA,Gramineae,Dryland,5,4.770341136,0.381980196,5,5.088449652,0.235836847
ZZZZJ6B,ZZZZJ6R,USA,Gramineae,Dryland,2,6.653821152,0.286422508,2,6.578758493,0.293678264
ZZZZJ7B,ZZZZJ7R,USA,Gramineae,Dryland,2,6.623161742,0.281008947,2,6.21107812,0.314610167
ZZZZJ8B,ZZZZJ8R,USA,Gramineae,Dryland,3,6.527509988,0.337616401,3,6.578586348,0.434314686
ZZZZJ9B,ZZZZJ9R,USA,Gramineae,Dryland,2,6.00453726,0.252801555,2,6.136552708,0.266369147
ZZZZJ91B,ZZZZJ91R,USA,Gramineae,Dryland,4,6.882371219,0.149594541,4,6.61066874,0.498264789
ZZZZJ92B,ZZZZJ92R,USA,Gramineae,Dryland,3,6.302232652,0.24032699,3,6.73464044,0.480311403
ZZZZJ93B,ZZZZJ93R,USA,Gramineae,Dryland,4,6.213055626,0.503870729,4,6.643223002,0.233335383
ZZZZJ94B,ZZZZJ94R,USA,Gramineae,Dryland,2,6.414006464,0.0675077,2,6.293083449,0.02788171
ZZZZN1B,ZZZZN1R,China,Gramineae,Dryland,3,6.88069377,0.025180097,3,6.966311958,0.040662533
ZZZZN2B,ZZZZN2R,China,Gramineae,Dryland,3,6.801632794,0.100660255,3,6.872009568,0.086489
ZZZZN3B,ZZZZN3R,China,Gramineae,Dryland,3,6.768911297,0.036916535,3,7.031021275,0.083048786
ZZZZN4B,ZZZZN4R,China,Gramineae,Dryland,3,6.815658866,0.192481604,3,6.993902965,0.088754856
ZZZZN5B,ZZZZN5R,China,Gramineae,Dryland,3,6.674545002,0.082517631,3,6.755165049,0.173448547
ZZZZN6B,ZZZZN6R,China,Gramineae,Dryland,3,6.649517689,0.068259803,3,6.776821329,0.039649242
ZZZZO1B,ZZZZO1R,China,Gramineae,Dryland,4,6.319144728,0.237535004,4,6.170339938,0.255815645
ZZZZO2B,ZZZZO2R,China,Gramineae,Dryland,2,6.500369811,0.05115926,2,6.180653093,0.34058521
ZZZZO3B,ZZZZO3R,China,Gramineae,Dryland,2,6.200585055,0.277148803,3,6.255864273,0.094109643
ZZZZP1B,ZZZZP1R,China,Leguminosae,Dryland,4,5.925410452,0.155127102,4,4.908616251,0.194981628
ZZZZP2B,ZZZZP2R,China,Leguminosae,Dryland,4,5.930818358,0.112447073,4,5.008164125,0.069140912
ZZZZP3B,ZZZZP3R,China,Leguminosae,Dryland,4,5.936634282,0.133474908,4,5.188996148,0.05126844
ZZZZP4B,ZZZZP4R,China,Leguminosae,Dryland,4,5.876622548,0.162879022,4,5.417117718,0.105227163
ZZZZQ1B,ZZZZQ1R,China,Solanaceae,Dryland,7,5.270486103,0.140377046,7,5.301288116,0.116393213
ZZZZQ2B,ZZZZQ2R,China,Solanaceae,Dryland,9,5.283759997,0.161262378,9,5.218435148,0.180983116
ZZZZQ3B,ZZZZQ3R,China,Solanaceae,Dryland,2,5.529175634,0.092579915,2,5.237420773,0.186762816
ZZZZS1B,ZZZZS1R,China,Solanaceae,Dryland,4,6.354277201,0.233709649,4,4.86166758,0.201916196
ZZZZS2B,ZZZZS2R,China,Solanaceae,Dryland,4,6.711319973,0.121037523,4,4.546124871,0.209027255
ZZZZS3B,ZZZZS3R,China,Solanaceae,Dryland,4,6.456905736,0.065740926,4,4.841945786,0.156846172
ZZZZT1B,ZZZZT1R,China,Leguminosae,Dryland,12,6.194578579,0.503886773,12,5.168577633,0.226569324
ZZZZT2B,ZZZZT2R,China,Leguminosae,Dryland,12,6.375058061,0.135033813,12,5.690346993,0.148264556
ZZZZU1B,ZZZZU1R,Germany,Cucurbitaceae,Dryland,4,6.665446779,0.090666697,4,5.577796509,0.212645276
ZZZZU2B,ZZZZU2R,Germany,Cucurbitaceae,Dryland,4,6.629112627,0.274214719,4,5.264490978,0.148135691
ZZZZU3B,ZZZZU3R,Germany,Cucurbitaceae,Dryland,4,6.513177835,0.08329727,4,5.341321257,0.086928148
ZZZZU4B,ZZZZU4R,Germany,Cucurbitaceae,Dryland,4,6.246731232,0.17068177,4,5.109385835,0.180100751
ZZZZU5B,ZZZZU5R,Germany,Cucurbitaceae,Dryland,4,6.406593016,0.044141304,4,4.706048556,0.318815427
ZZZZU6B,ZZZZU6R,Germany,Cucurbitaceae,Dryland,4,6.182663373,0.126975113,4,5.283644725,0.265747338
ZZZZV1B,ZZZZV1R,China,Solanaceae,Dryland,5,6.792643897,0.110068679,5,5.648612407,0.144822128
